manufacturer,serial,device,lua,"本文件专用于H7-TOOL产品,版权归属武汉安富莱电子有限公司",2020-10-12,,,,
ST,STM32F10x,STM32F103RE,STM32F10x_512.lua,,,,,,
ST,STM32F10x,STM32F103RF,STM32F10x_768.lua,,,,,,
ST,STM32F10x,STM32F103RG,STM32F10x_1024.lua,,,,,,
ST,STM32F10x,STM32F103T4,STM32F10x_16.lua,,,,,,
ST,STM32F10x,STM32F103T6,STM32F10x_32.lua,,,,,,
ST,STM32F10x,STM32F103T8,STM32F10x_64.lua,,,,,,
ST,STM32F10x,STM32F103TB,STM32F10x_128.lua,,,,,,
ST,STM32F10x,STM32F103V8,STM32F10x_64.lua,,,,,,
ST,STM32F10x,STM32F103VB,STM32F10x_128.lua,,,,,,
ST,STM32F10x,STM32F103VC,STM32F10x_256.lua,,,,,,
ST,STM32F10x,STM32F103VD,STM32F10x_384.lua,,,,,,
ST,STM32F10x,STM32F103VE,STM32F10x_512.lua,,,,,,
ST,STM32F10x,STM32F103VF,STM32F10x_768.lua,,,,,,
ST,STM32F10x,STM32F103VG,STM32F10x_1024.lua,,,,,,
ST,STM32F10x,STM32F103ZC,STM32F10x_256.lua,,,,,,
ST,STM32F10x,STM32F103ZD,STM32F10x_384.lua,,,,,,
ST,STM32F10x,STM32F103ZE,STM32F10x_512.lua,,,,,,
ST,STM32F10x,STM32F103ZF,STM32F10x_768.lua,,,,,,
ST,STM32F10x,STM32F103ZG,STM32F10x_1024.lua,,,,,,
ST,STM32F10x,STM32F105R8,STM32F10x_CL_64.lua,,,,,,
ST,STM32F10x,STM32F105RB,STM32F10x_CL_128.lua,,,,,,
ST,STM32F10x,STM32F105RC,STM32F10x_CL_256.lua,,,,,,
ST,STM32F10x,STM32F105V8,STM32F10x_CL_64.lua,,,,,,
ST,STM32F10x,STM32F105VB,STM32F10x_CL_128.lua,,,,,,
ST,STM32F10x,STM32F105VC,STM32F10x_CL_256.lua,,,,,,
ST,STM32F10x,STM32F107RB,STM32F10x_CL_128.lua,,,,,,
